record_id,image_file,scan_timestamp,capture_date_inferred,site,group_name,chip,previous_current_collar,collar,sex,age_class,weight_kg,body_length_cm,head_diameter_mm,body_girth_cm,fur_coverage_pct,distance_anus_genitals_cm,earring_number,ear_marking,handler,capture_time_text,anesthesia_time_text,anesthesia_quantity_ml,data_quality,notes
"20260417_202133","20260417_202133.jpg","2026-04-17T20:21:33+03:00","2026-04-17","Arugot","Isiim","985111002359213","","","F","J","1.5","37","41","23","100","","6","","","","","","medium","Sex, age, weight and earring are legible. Chip is from the printed barcode."
"20260417_202149","20260417_202149.jpg","2026-04-17T20:21:49+03:00","2026-04-17","Arugot","Isiim","VF13176","+","GE53?","F","A","2.8","35","50","30","100","","","","Shirel","","09:24","0.22","medium","Group, sex, age and measurements are readable. Collar uses the likely New Logger value."
"20260417_202201","20260417_202201.jpg","2026-04-17T20:22:01+03:00","2026-04-17","Arugot","Isiim","369434","","","F","A","2.75","40","54","28","","2.6","","","","","","","medium","Sex and age are inferred from the cropped field; distance anus/genitals is recorded."
"20260417_202215","20260417_202215.jpg","2026-04-17T20:22:15+03:00","2026-04-17","Arugot","Mountain","","BC","BC","F","A","3.1","40","53","30","","","","","","","11:42","0.35","high","Main fields are legible. Collar falls back to Previous/current Collar."
"20260417_202227","20260417_202227.jpg","2026-04-17T20:22:27+03:00","2026-04-17","Arugot","Mountain","","DP","DP","M","A","3.4","42","53","","100","2.6","","","","","","","high","Weight, sex, age, body length and head diameter are clear. Collar is a best-effort read from Previous/current Collar."
"20260417_202234","20260417_202234.jpg","2026-04-17T20:22:34+03:00","2026-04-17","Arugot","Mountain","217501","MT -> MT","MT","F","A","2.8","42","50","31","80","","","","","","","","low","Site and fur coverage are uncertain; group and main measurements are usable."
"20260417_202357","20260417_202357.jpg","2026-04-17T20:23:57+03:00","2026-04-16","Arugot","Isiim","","","","Unknown","Unknown","2.7","36","50","30","","","","","","","","","low","Site and core measurements are readable. Sex and age are not confidently legible."
"20260417_202407","20260417_202407.jpg","2026-04-17T20:24:07+03:00","2026-04-16","Arugot","Isiim","","47?","47?","Unknown","Unknown","2.3","38","46","","","","","","","","","","low","Core measurements are usable; collar is a weak read from the Previous/current Collar field."
"20260417_202419","20260417_202419.jpg","2026-04-17T20:24:19+03:00","2026-04-16","Arugot","Isiim","232424","ER","ER","F","A","2.6","38","51","","","","","","Heloise","20:07","","","medium","Sex, age and weight are clear; chip is approximate from OCR."
"20260417_202427","20260417_202427.jpg","2026-04-17T20:24:27+03:00","2026-04-16","Arugot","Isiim","","JA","JA","F","A","2.7","37","49","","","","","","","","","","high","Weight and sex/age are legible. Collar falls back to Previous/current Collar."
"20260417_202434","20260417_202434.jpg","2026-04-17T20:24:34+03:00","2026-04-16","Arugot","Isiim","","MYA?","MYA?","F","A","2.3","35","46","29","100","","","","","","","","medium","Body girth and fur coverage are inferred from a partial crop; collar is approximate."
"20260417_202443","20260417_202443.jpg","2026-04-17T20:24:43+03:00","2026-04-16","Arugot","Isiim","","","","F","A","3.0","41","51","29","","","","","","","","","high","Measurements and sex/age are legible."
"20260417_202454","20260417_202454.jpg","2026-04-17T20:24:54+03:00","2026-04-16","Arugot","Isiim","985111002358588","","","M","J","1.45","33","44","","","","12","R-B89","","","","","high","Juvenile male. Ear marking from the ear sketch reads R-B89; chip is from the printed barcode."
"20260417_202503","20260417_202503.jpg","2026-04-17T20:25:03+03:00","2026-04-16","Arugot","Isiim","985111002358750","","","M","J","1.65","35","43","","","","","","Heloise","09:21","12:30","0.15","high","Juvenile male with clear capture time and anesthesia row. Chip is from the printed barcode."
